,"tunnel support
 pattern","face
No.","upper 
/
bottom","area
[m2]","progression
[m]","excavation 
volume
[m3]",date,"wg3,piece","wg3,kg","wg25,piece","wg25,kg","wg,kg","anfo,kg","f06,piece","fconnect,piece","eldet,piece",pyro1,pyro2,pyro3,pyro4,pyro5,pyro6,pyro7,pyro8,pyro9,pyro10,pyro12,pyro14,pyro16,pyro17,pyro18,pyro19,pyro20,pyro21,total,kg/m3,faceN
483,D_,631,upper & bottom,98.744,1.0,98.7,2021.6.22,0,0,238.0,23.8,0,98,9,9,1,6.0,10.0,8.0,16.0,13.0,10.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,89.0,0.99,631
484,D_,632,upper,98.744,1.0,98.7,2021.6.22,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,632
485,D_,633,upper & bottom,98.744,1.0,98.7,2021.6.23,0,0,214.0,21.4,0,75,8,8,1,10.0,12.0,12.0,13.0,10.0,10.0,7.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,91.0,0.76,633
486,D_,634,upper,98.744,1.0,98.7,2021.6.23,0,0,33.0,3.3,0,30,3,4,1,0.0,0.0,4.0,6.0,2.0,0.0,6.0,10.0,4.0,1.0,0,0,0,0,0,0,0,0,33.0,0.3,634
487,D_,635,upper & bottom,98.744,1.0,98.7,2021.6.23,0,0,273.0,27.3,0,115,9,9,1,9.0,11.0,11.0,16.0,14.0,11.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,98.0,1.16,635
488,D_,636,upper,98.744,1.0,98.7,2021.6.23,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,636
489,D_,637,upper & bottom,98.744,1.0,98.7,2021.6.24,0,0,159.0,15.9,0,99,7,7,1,8.0,8.0,8.0,13.0,10.0,10.0,7.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,81.0,1,637
490,D_,638,upper,98.744,1.0,98.7,2021.6.24,0,0,95.0,9.5,0,28,4,5,1,0.0,1.0,6.0,7.0,6.0,3.0,6.0,8.0,6.0,2.0,0,0,0,0,0,0,0,0,45.0,0.28,638
491,D_,639,upper & bottom,98.744,1.0,98.7,2021.6.24,0,0,266.0,26.6,0,107,9,9,1,6.0,7.0,10.0,13.0,13.0,11.0,8.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,85.0,1.08,639
492,D_,640,upper,98.744,1.0,98.7,2021.6.24,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,640
493,D_,641,upper & bottom,98.744,1.0,98.7,2021.6.25,0,0,193.0,19.3,0,76,8,8,1,9.0,12.0,12.0,13.0,10.0,10.0,7.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,90.0,0.77,641
494,D_,642,upper,98.744,1.0,98.7,2021.6.25,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,642
495,D_,643,upper & bottom,98.744,1.0,98.7,2021.6.25,0,0,290.0,29.0,0,120,9,9,1,6.0,11.0,12.0,16.0,14.0,12.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,97.0,1.22,643
496,D_,644,upper,98.744,1.0,98.7,2021.6.25,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,644
497,D_,645,upper & bottom,98.744,1.0,98.7,2021.6.28,0,0,296.0,29.6,0,112,9,9,1,10.0,11.0,12.0,16.0,13.0,8.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,96.0,1.13,645
498,D_,646,upper,98.744,1.0,98.7,2021.6.28,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,646
499,D_,647,upper & bottom,98.744,1.0,98.7,2021.6.28,0,0,227.0,22.7,0,91,8,8,1,10.0,11.0,11.0,16.0,12.0,12.0,7.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,96.0,0.92,647
500,D_,648,upper,98.744,1.0,98.7,2021.6.28,0,0,75.0,7.5,0,41,4,4,1,3.0,2.0,2.0,7.0,5.0,3.0,7.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,46.0,0.42,648
501,D_,649,upper & bottom,98.744,1.0,98.7,2021.6.29,0,0,268.0,26.8,0,116,8,8,1,10.0,12.0,12.0,16.0,13.0,9.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,98.0,1.17,649
502,D_,650,upper,98.744,1.0,98.7,2021.6.29,0,0,144.0,14.4,0,28,4,5,1,0.0,0.0,0.0,4.0,4.0,12.0,8.0,6.0,6.0,2.0,0,0,0,0,0,0,0,0,42.0,0.28,650
503,D_,651,upper & bottom,98.744,1.0,98.7,2021.6.29,0,0,198.0,19.8,0,135,8,8,2,9.0,12.0,12.0,16.0,12.0,13.0,7.0,8.0,6.0,2.0,0,0,0,0,0,0,0,0,97.0,1.37,651
504,D_,652,upper,98.744,1.0,98.7,2021.6.29,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,652
505,D_,653,upper & bottom,98.744,1.0,98.7,2021.6.30,0,0,296.0,29.6,0,127,8,8,1,10.0,12.0,12.0,16.0,14.0,10.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,100.0,1.29,653
506,D_,654,upper,98.744,1.0,98.7,2021.6.30,0,0,165.0,16.5,0,0,5,5,1,0.0,0.0,0.0,2.0,4.0,8.0,9.0,8.0,6.0,2.0,0,0,0,0,0,0,0,0,39.0,0,654
507,D_,655,upper & bottom,98.744,1.0,98.7,2021.6.30,0,0,237.0,23.7,0,130,8,8,1,10.0,12.0,12.0,15.0,12.0,14.0,8.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,100.0,1.32,655
508,D_,656,upper,98.744,1.0,98.7,2021.6.30,0,0,81.0,8.1,0,23,4,4,1,0.0,0.0,1.0,9.0,6.0,1.0,7.0,8.0,5.0,2.0,0,0,0,0,0,0,0,0,39.0,0.23,656
509,D_,657,upper & bottom,98.744,1.0,98.7,2021.7.1,0,0,255.0,25.5,0,126,9,9,1,10.0,12.0,12.0,15.0,15.0,12.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,102.0,1.28,657
510,D_,658,upper,98.744,1.0,98.7,2021.7.1,0,0,99.0,9.9,0,18,5,5,1,0.0,0.0,0.0,3.0,4.0,8.0,12.0,6.0,3.0,1.0,0,0,0,0,0,0,0,0,37.0,0.18,658
511,D_,659,upper & bottom,98.744,1.0,98.7,2021.7.1,0,0,270.0,27.0,0,133,8,8,1,10.0,12.0,12.0,16.0,10.0,13.0,6.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,97.0,1.35,659
512,D_,660,upper,98.744,1.0,98.7,2021.7.1,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,660
513,D_,661,upper & bottom,98.744,1.0,98.7,2021.7.2,0,0,388.0,38.8,0,74,9,9,1,8.0,12.0,12.0,15.0,16.0,9.0,8.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,97.0,0.75,661
514,D_,662,upper,98.744,1.0,98.7,2021.7.2,0,0,157.0,15.7,0,0,4,4,1,0.0,0.0,0.0,0.0,4.0,7.0,10.0,8.0,3.0,2.0,0,0,0,0,0,0,0,0,34.0,0,662
